,Ajay.png,Akshay.png,Aman.jpg,dalama.png,dhoni.png,hitesh.jpg,jack.png,modi.png,p1.png,p2.png,p3.png,p4.png,p5.png,p6.png,ravi.jpg,Sachin.png,Salman.png,trump.png,virat.png,vivek.png
person4.png,95024.96687187004,82053.8906877669,67862.33442786949,82908.75390451842,94965.62532832604,93226.13944060968,88151.03795758732,91055.41333166305,78506.50818881196,51516.995399576634,92587.68834461739,0.0,91811.87990124154,73414.4489729372,73439.28334345318,82879.16410051443,64242.596725225856,82399.33547668938,74087.73282399726,92292.5452948395
person4_left.png,90093.38109983441,66924.60144072582,85567.81955267997,76889.70447985869,109378.32862592115,80998.46386197704,75820.29017354127,93748.11492504796,75618.63543465988,68419.43095349449,82896.46588365514,69827.52924885714,79287.64102935589,70596.34809960073,75376.23429835163,74492.38900048783,68180.87055032371,90493.45213881499,81439.19772443734,84167.40713601673
person4_right.png,94729.87850725873,79409.12525648421,73846.91039576402,81131.28664701429,105054.44679307964,89538.04870556427,80054.38285315802,95741.00627212982,85245.59207959083,58161.65578798458,90692.47122005222,56209.23097677107,85602.13984474921,70021.82229134001,67202.23087814868,80689.61980948974,64660.222757117066,87212.72470230477,76395.11975250776,90597.81126495275
person5.png,70848.90896831086,58860.03819230837,84040.81865974415,65762.02293877523,106532.88683312773,65627.84924100438,66770.66966865017,78537.22024619918,63266.392192063555,75446.07847993162,46407.90460686627,91811.87990124154,0.0,48923.67290995229,79097.59478644088,59287.6064536257,69298.22144182345,76670.3539837922,72399.64067590391,64463.65675324353
person5_left.png,81118.12581045003,71561.76810979449,67457.56212612489,74045.4506502594,84224.652756779,71859.78503307674,67825.81812997171,62162.292131162605,42804.12283881075,75607.07532367589,44923.1720718829,87249.00848720288,62829.521556351196,53343.85464137364,85739.86735469096,63111.833533815196,77611.50942998081,77655.47956841165,58624.7224215177,68110.62257093235
person5_right.png,84489.69849632557,71848.63160840295,73712.81826792407,77912.34855271659,93543.92300411609,71203.85160930552,65439.04145080366,70111.96806537383,59936.73735698332,81106.64681763141,47091.08864742883,92065.22858821347,56630.672130922125,53246.462934170566,83811.85354709679,65677.23444999797,81629.08624381386,82989.81135055074,67789.82612457417,69446.13923034167
person6.png,60979.39831615264,50772.69566410671,64841.46579157507,54783.39328665211,95350.64617505221,59913.01834326159,52440.697659356134,67810.50198162523,52641.355890592335,55572.77947880599,46567.26976106716,73414.4489729372,48923.67290995229,0.0,64026.39800894628,49292.8561355497,56632.92568815424,64244.2669270963,56038.12413883962,56488.24988437861
person6_right.png,62065.61473956413,49843.316231968354,65987.1873775508,57697.82699547705,94851.88110944348,60147.02143082399,53212.56673944605,68394.02283094627,53789.09807758446,56816.274983493946,46002.68512815312,75087.16192532516,47040.89645191724,22375.292355631915,62643.925611347186,48840.84526295588,56286.18768401356,63966.024724067385,56603.202639073344,58498.57614506527
person7_left.png,91360.80249209724,71289.86559112031,71556.55189428848,76526.95320604369,84996.15576601097,78095.76490437878,70684.140455975,66247.74556164157,53592.591027118666,76925.14465374764,59616.712052913485,83879.83628381733,68651.40219980944,54276.54765181735,79127.77720244642,76137.93658223211,76117.6422848212,83242.29601590768,70880.44923672536,78578.26219763326
person7_right.png,94890.4775728313,74775.8785705658,72085.67517197851,83959.60768726829,81627.64218694546,77428.11357640066,70447.31503755129,64315.872939733934,57512.530104317266,78345.96556300778,58228.18449857423,83797.54650942949,68450.20214725447,56303.076567804004,77779.2899620458,76642.26026807925,78972.80005799465,89622.37841075186,72141.1682882943,81754.79549237463
